城市,年份,国内旅游人数（万人）
上海市,2000,
上海市,2001,
上海市,2002,8760.9
上海市,2003,7603
上海市,2004,8505
上海市,2005,9012
上海市,2006,9684
上海市,2007,10210
上海市,2008,11006
上海市,2009,12361
上海市,2010,22432
上海市,2011,23079
上海市,2012,25094
上海市,2013,25990.7
上海市,2014,26818
上海市,2015,27569.4
上海市,2016,29620.6
上海市,2017,32845.3
上海市,2018,33976.9
上海市,2019,36140.5
上海市,2020,23605.7
上海市,2021,29382.2
上海市,2022,18816.2
上海市,2023,32642.8
临沧市,2000,
临沧市,2001,
临沧市,2002,59
临沧市,2003,63.6
临沧市,2004,84
临沧市,2005,130
临沧市,2006,166
临沧市,2007,223
临沧市,2008,226.5
临沧市,2009,249.1
临沧市,2010,268.9
临沧市,2011,299.38
临沧市,2012,358.1
临沧市,2013,436.79
临沧市,2014,
临沧市,2015,781.33
临沧市,2016,1250.6
临沧市,2017,1807.24
临沧市,2018,2488.11
临沧市,2019,3111.38
临沧市,2020,1869.81
临沧市,2021,2395.6
临沧市,2022,3170.76
临沧市,2023,
丽江市,2000,
丽江市,2001,
丽江市,2002,323
丽江市,2003,292.5
丽江市,2004,351
丽江市,2005,386
丽江市,2006,429
丽江市,2007,218
丽江市,2008,578.9
丽江市,2009,705.6
丽江市,2010,848.8
丽江市,2011,1107.93
丽江市,2012,1514.4
丽江市,2013,1979.91
丽江市,2014,2556.12
丽江市,2015,2941.44
丽江市,2016,3404.1
丽江市,2017,3950.87
丽江市,2018,4523.88
丽江市,2019,5293.87
丽江市,2020,2620.08
丽江市,2021,2874.2
丽江市,2022,5483.27
丽江市,2023,
保山市,2000,
保山市,2001,
保山市,2002,234
保山市,2003,276.6
保山市,2004,344
保山市,2005,378
保山市,2006,415
保山市,2007,235
保山市,2008,498
保山市,2009,552.1
保山市,2010,611
保山市,2011,689.91
保山市,2012,793.24
保山市,2013,937.98
保山市,2014,
保山市,2015,1264.15
保山市,2016,1816.44
保山市,2017,2492.28
保山市,2018,2960.77
保山市,2019,3579.46
保山市,2020,2609.5
保山市,2021,3040.8
保山市,2022,4036.8
保山市,2023,
昆明市,2000,1106
昆明市,2001,1897
昆明市,2002,1936
昆明市,2003,1549
昆明市,2004,1708
昆明市,2005,1971
昆明市,2006,2169
昆明市,2007,2437
昆明市,2008,2664
昆明市,2009,3037
昆明市,2010,3471
昆明市,2011,4002
昆明市,2012,4581
昆明市,2013,5479.06
昆明市,2014,6149.45
昆明市,2015,6796.91
昆明市,2016,9990
昆明市,2017,13208.5
昆明市,2018,15911.2
昆明市,2019,18494.6
昆明市,2020,13631.5
昆明市,2021,17407.9
昆明市,2022,21803.4
昆明市,2023,
昭通市,2000,
昭通市,2001,
昭通市,2002,158
昭通市,2003,129.5
昭通市,2004,194
昭通市,2005,204
昭通市,2006,206
昭通市,2007,455
昭通市,2008,373.6
昭通市,2009,475.3
昭通市,2010,591.2
昭通市,2011,708.7
昭通市,2012,1014.61
昭通市,2013,1375.79
昭通市,2014,
昭通市,2015,2065.68
昭通市,2016,2489.11
昭通市,2017,3278.43
昭通市,2018,3821.13
昭通市,2019,4385.99
昭通市,2020,2718.93
昭通市,2021,3256.9
昭通市,2022,4697.41
昭通市,2023,
普洱市,2000,
普洱市,2001,
普洱市,2002,140
普洱市,2003,209.2
普洱市,2004,249
普洱市,2005,263
普洱市,2006,190
普洱市,2007,495
普洱市,2008,234.42
普洱市,2009,304.13
普洱市,2010,347.24
普洱市,2011,556.43
普洱市,2012,819.03
普洱市,2013,1128.48
普洱市,2014,1312.56
