省份,城市,年份,国内旅游人数（万人）,国内旅游收入（亿元）,,,,,,
上海市,上海市,2000,,775,,,,,,
上海市,上海市,2001,,805.78,,,,,,
上海市,上海市,2002,8760.9,993.8,,,,,,
上海市,上海市,2003,7603,1079.8,,,,,,
上海市,上海市,2004,8505,1216.34,,,,,,
上海市,上海市,2005,9012,1308.41,,,,,,
上海市,上海市,2006,9684,1419.94,,,,,,
上海市,上海市,2007,10210,1611.32,,,,,,
上海市,上海市,2008,11006,1612.41,,,,,,
上海市,上海市,2009,12361,1913.8,,,,,,
上海市,上海市,2010,22432,2522.94,,,,,,
上海市,上海市,2011,23079,2786.54,,,,,,
上海市,上海市,2012,25094,3224.39,,,,,,更多数据：请关注公众号 【众鲤数据网】
上海市,上海市,2013,25990.7,2968,,,,,,官方网址：https://zldatas.com
上海市,上海市,2014,26818,2950.13,,,,,,
上海市,上海市,2015,27569.4,3004.73,,,,,,
上海市,上海市,2016,29620.6,3443.93,,,,,,
上海市,上海市,2017,32845.3,4025.13,,,,,,
上海市,上海市,2018,33976.9,4477.15,,,,,,
上海市,上海市,2019,36140.5,4789.3,,,,,,
上海市,上海市,2020,23605.7,2809.5,,,,,,
上海市,上海市,2021,29382.2,3536.53,,,,,,
上海市,上海市,2022,18816.2,2080.14,,,,,,
上海市,上海市,2023,32642.8,3678.11,,,,,,
云南省,临沧市,2000,,,,,,,,
云南省,临沧市,2001,,,,,,,,
云南省,临沧市,2002,59,1.087,,,,,,
云南省,临沧市,2003,63.6,1.0319,,,,,,
云南省,临沧市,2004,84,2.3642,,,,,,
云南省,临沧市,2005,130,13.9083,,,,,,
云南省,临沧市,2006,166,5.1353,,,,,,
云南省,临沧市,2007,223,5.45265,,,,,,
云南省,临沧市,2008,226.5,10.2385,,,,,,
云南省,临沧市,2009,249.1,9.3,,,,,,
云南省,临沧市,2010,268.9,14.49,,,,,,
云南省,临沧市,2011,299.38,17.84,,,,,,
云南省,临沧市,2012,358.1,21.54,,,,,,
云南省,临沧市,2013,436.79,28.6,,,,,,
云南省,临沧市,2014,,,,,,,,
云南省,临沧市,2015,781.33,,,,,,,
云南省,临沧市,2016,1250.6,,,,,,,
云南省,临沧市,2017,1807.24,171.177,,,,,,
云南省,临沧市,2018,2488.11,,,,,,,
云南省,临沧市,2019,3111.38,,,,,,,
云南省,临沧市,2020,1869.81,,,,,,,
云南省,临沧市,2021,2395.6,214,,,,,,
云南省,临沧市,2022,3170.76,252.72,,,,,,
云南省,临沧市,2023,,,,,,,,
云南省,丽江市,2000,,,,,,,,
云南省,丽江市,2001,,,,,,,,
云南省,丽江市,2002,323,19.8867,,,,,,
云南省,丽江市,2003,292.5,27.7856,,,,,,
云南省,丽江市,2004,351,33.869,,,,,,
