城市,年份,国内旅游收入（亿元）,,,,,,
上海市,2000,775,,,,,,
上海市,2001,805.78,,,,,,
上海市,2002,993.8,,,,,,
上海市,2003,1079.8,,,,,,
上海市,2004,1216.34,,,,,,
上海市,2005,1308.41,,,,,,
上海市,2006,1419.94,,,,,,
上海市,2007,1611.32,,,,,,
上海市,2008,1612.41,,,,,,
上海市,2009,1913.8,,,,,,
上海市,2010,2522.94,,,,,,
上海市,2011,2786.54,,,,,,
上海市,2012,3224.39,,,,,,更多数据：请关注公众号 【众鲤数据网】
上海市,2013,2968,,,,,,官方网址：https://zldatas.com
上海市,2014,2950.13,,,,,,
上海市,2015,3004.73,,,,,,
上海市,2016,3443.93,,,,,,
上海市,2017,4025.13,,,,,,
上海市,2018,4477.15,,,,,,
上海市,2019,4789.3,,,,,,
上海市,2020,2809.5,,,,,,
上海市,2021,3536.53,,,,,,
上海市,2022,2080.14,,,,,,
上海市,2023,3678.11,,,,,,
临沧市,2000,,,,,,,
临沧市,2001,,,,,,,
临沧市,2002,1.087,,,,,,
临沧市,2003,1.0319,,,,,,
临沧市,2004,2.3642,,,,,,
临沧市,2005,13.9083,,,,,,
临沧市,2006,5.1353,,,,,,
临沧市,2007,5.45265,,,,,,
临沧市,2008,10.2385,,,,,,
临沧市,2009,9.3,,,,,,
临沧市,2010,14.49,,,,,,
临沧市,2011,17.84,,,,,,
临沧市,2012,21.54,,,,,,
临沧市,2013,28.6,,,,,,
临沧市,2014,,,,,,,
临沧市,2015,,,,,,,
临沧市,2016,,,,,,,
临沧市,2017,171.177,,,,,,
临沧市,2018,,,,,,,
临沧市,2019,,,,,,,
临沧市,2020,,,,,,,
临沧市,2021,214,,,,,,
临沧市,2022,252.72,,,,,,
临沧市,2023,,,,,,,
丽江市,2000,,,,,,,
丽江市,2001,,,,,,,
丽江市,2002,19.8867,,,,,,
丽江市,2003,27.7856,,,,,,
丽江市,2004,33.869,,,,,,
丽江市,2005,36.0547,,,,,,
丽江市,2006,46.7558,,,,,,
丽江市,2007,8.38088,,,,,,
丽江市,2008,59.45,,,,,,
丽江市,2009,77,,,,,,
丽江市,2010,98.71,,,,,,
丽江市,2011,135.73,,,,,,
丽江市,2012,193,,,,,,
丽江市,2013,256.52,,,,,,
丽江市,2014,353.84,,,,,,
丽江市,2015,453.95,,,,,,
丽江市,2016,578.89,,,,,,
丽江市,2017,788.264,,,,,,
丽江市,2018,,,,,,,
丽江市,2019,,,,,,,
丽江市,2020,508.1,,,,,,
丽江市,2021,382.7,,,,,,
丽江市,2022,681.44,,,,,,
丽江市,2023,,,,,,,
保山市,2000,,,,,,,
保山市,2001,,,,,,,
保山市,2002,5.4558,,,,,,
保山市,2003,8.5335,,,,,,
保山市,2004,10.783,,,,,,
保山市,2005,11.7649,,,,,,
保山市,2006,18.1895,,,,,,
保山市,2007,6.41718,,,,,,
保山市,2008,19.4711,,,,,,
保山市,2009,22.16,,,,,,
保山市,2010,29.22,,,,,,
保山市,2011,38,,,,,,
保山市,2012,49,,,,,,
保山市,2013,63.15,,,,,,
保山市,2014,84.91,,,,,,
保山市,2015,,,,,,,
保山市,2016,169,,,,,,
保山市,2017,258.84,,,,,,
保山市,2018,,,,,,,
保山市,2019,,,,,,,
保山市,2020,266.7,,,,,,
保山市,2021,338.4,,,,,,
保山市,2022,473,,,,,,
保山市,2023,,,,,,,
昆明市,2000,90.4744,,,,,,
昆明市,2001,128.036,,,,,,
昆明市,2002,126.363,,,,,,
昆明市,2003,109.047,,,,,,
昆明市,2004,126.613,,,,,,
昆明市,2005,124.084,,,,,,
昆明市,2006,140.56,,,,,,
昆明市,2007,153.333,,,,,,
